"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Mai 16","1.269,30","1.269,30","1.269,30","1.269,30","0,00K","-5,37%"
"Abr 16","1.341,40","1.341,40","1.341,40","1.341,40","0,30K","4,72%"
"Mar 16","1.280,90","1.304,00","1.304,00","1.269,70","0,01K","0,60%"
"Fev 16","1.273,30","1.220,40","1.269,00","1.220,40","0,01K","9,59%"
"Jan 16","1.161,90","1.161,90","1.161,90","1.161,90","0,00K","3,65%"
"Dez 15","1.121,00","1.121,00","1.121,00","1.121,00","9,97K","-0,26%"
"Nov 15","1.123,90","1.131,00","1.138,40","1.131,00","0,02K","-5,97%"
"Out 15","1.195,20","1.195,20","1.195,20","1.195,20","0,15K","0,98%"
"Set 15","1.183,60","1.188,40","1.188,40","1.188,40","0,00K","-2,74%"
"Ago 15","1.216,90","1.216,90","1.216,90","1.216,90","12,82K","2,86%"
"Jul 15","1.183,10","1.268,50","1.268,50","1.268,00","0,00K","-6,90%"
"Jun 15","1.270,80","1.264,00","1.266,80","1.263,00","0,01K","-0,77%"
"Mai 15","1.280,70","1.317,50","1.318,20","1.276,50","0,00K","0,60%"
"Abr 15","1.273,00","1.273,00","1.273,00","1.273,00","7,45K","0,06%"
"Mar 15","1.272,20","1.272,20","1.272,20","1.272,20","42,95K","-2,84%"
"Fev 15","1.309,40","1.367,00","1.367,00","1.323,30","0,00K","-5,43%"
"Jan 15","1.384,60","1.340,00","1.391,10","1.340,00","0,01K","3,68%"
"Dez 14","1.335,40","1.335,40","1.335,40","1.346,70","11,02K","13,63%"
"Nov 14","1.175,20","1.166,40","1.202,40","1.132,90","88,66K","0,35%"
"Out 14","1.171,10","1.207,70","1.247,00","1.161,40","3,88K","-3,25%"
"Set 14","1.210,50","1.284,50","1.286,40","1.204,00","8,21K","-5,86%"
"Ago 14","1.285,80","1.284,10","1.322,10","1.272,00","8,89K","0,35%"
"Jul 14","1.281,30","1.326,70","1.343,70","1.280,60","43,10K","-3,06%"
"Jun 14","1.321,80","1.250,00","1.328,70","1.240,50","10,00K","6,12%"
"Mai 14","1.245,60","1.288,70","1.314,20","1.241,80","42,32K","-3,86%"
"Abr 14","1.295,60","1.285,10","1.330,00","1.272,40","7,94K","0,95%"
"Mar 14","1.283,40","1.335,90","1.391,40","1.282,40","70,78K","-2,88%"
"Fev 14","1.321,40","1.242,40","1.344,00","1.241,20","11,52K","6,56%"
"Jan 14","1.240,10","1.204,30","1.269,40","1.204,30","52,67K","3,18%"
"Dez 13","1.201,90","1.251,40","1.267,00","1.182,00","14,56K","-3,89%"
"Nov 13","1.250,60","1.325,70","1.325,70","1.229,00","92,25K","-5,52%"
"Out 13","1.323,60","1.328,00","1.359,70","1.254,10","2,56K","-0,22%"
"Set 13","1.326,50","1.393,00","1.414,40","1.292,10","4,59K","-4,99%"
"Ago 13","1.396,10","1.323,00","1.428,00","1.274,00","10,14K","6,38%"
"Jul 13","1.312,40","1.234,70","1.345,10","1.208,90","51,81K","7,24%"
"Jun 13","1.223,80","1.389,10","1.422,70","1.183,20","12,13K","-12,12%"
"Mai 13","1.392,60","1.475,80","1.487,10","1.342,90","53,45K","-5,41%"
"Abr 13","1.472,20","1.596,80","1.602,60","1.323,00","14,30K","-7,69%"
"Mar 13","1.594,80","1.579,60","1.613,10","1.561,80","58,37K","1,08%"
"Fev 13","1.577,70","1.663,90","1.683,40","1.554,50","10,81K","-4,99%"
"Jan 13","1.660,60","1.672,80","1.694,70","1.625,70","51,88K","-0,85%"
"Dez 12","1.674,80","1.714,90","1.722,30","1.635,80","6,82K","-2,11%"
"Nov 12","1.710,90","1.722,30","1.750,50","1.674,30","69,65K","-0,38%"
"Out 12","1.717,50","1.766,00","1.794,80","1.698,60","2,63K","-3,03%"
"Set 12","1.771,10","1.689,10","1.785,30","1.687,70","10,33K","5,13%"
"Ago 12","1.684,60","1.613,40","1.690,00","1.583,10","11,42K","4,60%"
